CIDR,Network Prefix Address,Route Prefix,Address Count,Address Count 2^n
ffff:fc00::/22,ffff:fc00::,22,81129638414606681695789005144064,106
ffff:f800::/21,ffff:f800::,21,162259276829213363391578010288128,107
ffff:f000::/20,ffff:f000::,20,324518553658426726783156020576256,108
ffff:e000::/19,ffff:e000::,19,649037107316853453566312041152512,109
ffff:c000::/18,ffff:c000::,18,1298074214633706907132624082305024,110
ffff:8000::/17,ffff:8000::,17,2596148429267413814265248164610048,111
ffff::/16,ffff::,16,5192296858534827628530496329220096,112
fffe::/15,fffe::,15,10384593717069655257060992658440192,113
fffc::/14,fffc::,14,20769187434139310514121985316880384,114
fff8::/13,fff8::,13,41538374868278621028243970633760768,115
fff0::/12,fff0::,12,83076749736557242056487941267521536,116
ffe0::/11,ffe0::,11,166153499473114484112975882535043072,117
ffc0::/10,ffc0::,10,332306998946228968225951765070086144,118
ff80::/9,ff80::,9,664613997892457936451903530140172288,119
ff00::/8,ff00::,8,1329227995784915872903807060280344576,120
fe00::/7,fe00::,7,2658455991569831745807614120560689152,121
fc00::/6,fc00::,6,5316911983139663491615228241121378304,122
f800::/5,f800::,5,10633823966279326983230456482242756608,123
f000::/4,f000::,4,21267647932558653966460912964485513216,124
e000::/3,e000::,3,42535295865117307932921825928971026432,125
c000::/2,c000::,2,85070591730234615865843651857942052864,126
8000::/1,8000::,1,170141183460469231731687303715884105728,127
::/0,::,0,340282366920938463463374607431768211456,128
